modpos_hex,order,row,ms,speed,bpm,note
0x0639,6,57,43688.8,5,128,
0x063a,6,58,43786.4,5,128,
0x063b,6,59,43884.1,5,128,
0x063c,6,60,43981.7,5,128,
0x063d,6,61,44079.4,5,128,
0x063e,6,62,44177.0,5,128,
0x063f,6,63,44274.7,5,128,
0x0700,7,0,44372.3,5,128,
0x0701,7,1,44470.0,5,128,
0x0702,7,2,44567.7,5,128,
0x0703,7,3,44665.3,5,128,
0x0704,7,4,44763.0,5,128,
0x0705,7,5,44860.6,5,128,
0x0706,7,6,44958.3,5,128,
0x0707,7,7,45055.9,5,128,
0x0708,7,8,45153.6,5,128,
0x0709,7,9,45251.3,5,128,
0x070a,7,10,45348.9,5,128,
0x070b,7,11,45446.6,5,128,
0x070c,7,12,45544.2,5,128,
0x070d,7,13,45641.9,5,128,
0x070e,7,14,45739.5,5,128,
0x070f,7,15,45837.2,5,128,
0x0710,7,16,45934.8,5,128,
0x0711,7,17,46032.5,5,128,
0x0712,7,18,46130.2,5,128,
0x0713,7,19,46227.8,5,128,
0x0714,7,20,46325.5,5,128,
0x0715,7,21,46423.1,5,128,
0x0716,7,22,46520.8,5,128,
0x0717,7,23,46618.4,5,128,
0x0718,7,24,46716.1,5,128,
0x0719,7,25,46813.8,5,128,
0x071a,7,26,46911.4,5,128,
0x071b,7,27,47009.1,5,128,
0x071c,7,28,47106.7,5,128,
0x071d,7,29,47204.4,5,128,
0x071e,7,30,47302.0,5,128,
0x071f,7,31,47399.7,5,128,
0x0720,7,32,47497.3,5,128,
0x0721,7,33,47595.0,5,128,
0x0722,7,34,47692.7,5,128,
0x0723,7,35,47790.3,5,128,
0x0724,7,36,47888.0,5,128,
0x0725,7,37,47985.6,5,128,
0x0726,7,38,48083.3,5,128,
0x0727,7,39,48180.9,5,128,
0x0728,7,40,48278.6,5,128,
0x0729,7,41,48376.3,5,128,
0x072a,7,42,48473.9,5,128,
0x072b,7,43,48571.6,5,128,
0x072c,7,44,48669.2,5,128,
0x072d,7,45,48766.9,5,128,
0x072e,7,46,48864.5,5,128,
0x072f,7,47,48962.2,5,128,
0x0730,7,48,49059.8,5,128,
0x0731,7,49,49157.5,5,128,
0x0732,7,50,49255.2,5,128,
0x0733,7,51,49352.8,5,128,
0x0734,7,52,49450.5,5,128,
0x0735,7,53,49548.1,5,128,
0x0736,7,54,49645.8,5,128,
0x0737,7,55,49743.4,5,128,
0x0738,7,56,49841.1,5,128,
0x0739,7,57,49938.8,5,128,
0x073a,7,58,50036.4,5,128,
0x073b,7,59,50134.1,5,128,
0x073c,7,60,50231.7,5,128,
0x073d,7,61,50329.4,5,128,
0x073e,7,62,50427.0,5,128,
0x073f,7,63,50524.7,5,128,
0x0800,8,0,50622.3,5,128,
0x0801,8,1,50720.0,5,128,
0x0802,8,2,50817.7,5,128,
0x0803,8,3,50915.3,5,128,
0x0804,8,4,51013.0,5,128,
0x0805,8,5,51110.6,5,128,
0x0806,8,6,51208.3,5,128,
0x0807,8,7,51305.9,5,128,
0x0808,8,8,51403.6,5,128,
0x0809,8,9,51501.3,5,128,
0x080a,8,10,51598.9,5,128,
0x080b,8,11,51696.6,5,128,
0x080c,8,12,51794.2,5,128,
0x080d,8,13,51891.9,5,128,
0x080e,8,14,51989.5,5,128,
0x080f,8,15,52087.2,5,128,
0x0810,8,16,52184.8,5,128,
0x0811,8,17,52282.5,5,128,
0x0812,8,18,52380.2,5,128,
0x0813,8,19,52477.8,5,128,
0x0814,8,20,52575.5,5,128,
0x0815,8,21,52673.1,5,128,
